Id,devicename,batterylife,price,BasemarkX,year,ImageURL,screensize,phoneURL,nfc,headphonejack,dualsim,ir,dxomarkScore,antutu
556,Xiaomi Mi Note,48,169,13075,2015,https://cdn2.gsmarena.com/vv/bigpic/xiaomi-note-2015.jpg,5.7000,https://www.gsmarena.com/xiaomi_mi_note-6944.php,0,1,1,0,0,64000
557,Xiaomi Redmi 2A,0,116,0,2015,https://cdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-2.jpg,4.7000,https://www.gsmarena.com/xiaomi_redmi_2a-7159.php,0,1,1,0,0,23000
558,Xiaomi Redmi 2,55,116,0,2015,https://cdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-2.jpg,4.7000,https://www.gsmarena.com/xiaomi_redmi_2-6884.php,0,1,1,0,0,23000
559,Google Pixel 3a XL,98,429,25962,2019,https://cdn2.gsmarena.com/vv/bigpic/google-pixel-3a-xl.jpg,6.0000,https://www.gsmarena.com/google_pixel_3a_xl-9690.php,1,1,0,0,0,159000
560,Google Pixel 3a,0,357,0,2019,https://cdn2.gsmarena.com/vv/bigpic/google-pixel-3a.jpg,5.6000,https://www.gsmarena.com/google_pixel_3a-9408.php,1,1,0,0,0,159000
561,Google Pixel 3 XL,0,858,0,2018,https://cdn2.gsmarena.com/vv/bigpic/google-pixel-3xl-.jpg,6.3000,https://www.gsmarena.com/google_pixel_3_xl-9257.php,1,1,0,0,0,275000
562,Google Pixel 3,69,759,44369,2018,https://cdn2.gsmarena.com/vv/bigpic/google-pixel-3-.jpg,5.5000,https://www.gsmarena.com/google_pixel_3-9256.php,1,1,0,0,101,275000
563,Google Pixel 2,75,491,38794,2017,https://cdn2.gsmarena.com/vv/bigpic/google-pixel-2.jpg,5.0000,https://www.gsmarena.com/google_pixel_2-8733.php,1,1,0,0,98,175000
564,Google Pixel 2 XL,88,473,39143,2017,https://cdn2.gsmarena.com/vv/bigpic/google-pixel-xl2-.jpg,6.0000,https://www.gsmarena.com/google_pixel_2_xl-8720.php,1,1,0,0,0,203000
565,Google Pixel XL,78,339,30861,2016,https://cdn2.gsmarena.com/vv/bigpic/google-pixel-xl.jpg,5.5000,https://www.gsmarena.com/google_pixel_xl-8345.php,1,1,0,0,0,145000
566,Google Pixel,64,259,33023,2016,https://cdn2.gsmarena.com/vv/bigpic/google-pixel.jpg,5.0000,https://www.gsmarena.com/google_pixel-8346.php,1,1,0,0,90,145000
567,Google Pixel C,0,303,0,2015,https://cdn2.gsmarena.com/vv/bigpic/google-pixel-c--.jpg,10.2000,https://www.gsmarena.com/google_pixel_c-7826.php,0,1,0,0,0,66000
568,Honor 20 Pro,0,536,0,2019,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-20-pro-r.jpg,6.2600,https://www.gsmarena.com/honor_20_pro-9710.php,0,1,1,1,111,0
569,Honor 20,0,446,0,2019,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-20.jpg,6.2600,https://www.gsmarena.com/honor_20-9615.php,0,1,1,1,0,0
570,Honor 20 lite,0,268,0,2019,https://cdn2.gsmarena.com/vv/bigpic/honor-20-lite.jpg,6.2100,https://www.gsmarena.com/honor_20_lite-9641.php,1,1,1,0,0,0
571,Honor 8S,0,107,0,2019,https://cdn2.gsmarena.com/vv/bigpic/honor-8s-.jpg,5.7100,https://www.gsmarena.com/honor_8s-9664.php,0,1,1,0,0,0
572,Honor 20i,0,187,0,2019,https://cdn2.gsmarena.com/vv/bigpic/honor-20i.jpg,6.2100,https://www.gsmarena.com/honor_20i-9663.php,0,1,1,0,0,0
573,Honor 8A Pro,0,178,0,2019,https://cdn2.gsmarena.com/vv/bigpic/huawei-8a-pro.jpg,6.0900,https://www.gsmarena.com/honor_8a_pro-9662.php,0,1,1,0,0,0
574,Honor View 20,96,509,43637,2018,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-view-20-ofic.jpg,6.4000,https://www.gsmarena.com/honor_view_20-9468.php,1,1,1,1,0,0
575,Honor Magic 2 3D,0,446,0,2019,https://cdn2.gsmarena.com/vv/bigpic/honor-magic-2-3d.jpg,6.3900,https://www.gsmarena.com/honor_magic_2_3d-9628.php,1,1,1,0,0,0
576,Honor Magic 2,89,491,43562,2018,https://cdn2.gsmarena.com/vv/bigpic/honor-magic-2-.jpg,6.3900,https://www.gsmarena.com/honor_magic_2-9381.php,1,1,1,0,0,0
577,Honor Play 8A,0,89,0,2019,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-play-8a.jpg,6.0900,https://www.gsmarena.com/honor_play_8a-9509.php,0,1,1,0,0,0
578,Honor 10 Lite,89,187,0,2018,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-10-lite.jpg,6.2100,https://www.gsmarena.com/honor_10_lite-9403.php,1,1,1,0,0,0
579,Honor 8C,0,151,0,2018,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-8c.jpg,6.2600,https://www.gsmarena.com/honor_8c-9366.php,0,1,1,0,0,0
580,Honor 8X,96,241,20416,2018,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-8x.jpg,6.5000,https://www.gsmarena.com/honor_8x-9313.php,1,1,1,0,0,0
581,Honor 8X Max,0,223,0,2018,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-8x-max.jpg,7.1200,https://www.gsmarena.com/honor_8x_max-9306.php,0,1,1,0,0,0
582,Honor Note 10,0,357,0,2018,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-note10-cn.jpg,6.9500,https://www.gsmarena.com/honor_note_10-8799.php,1,1,1,0,0,0
583,Honor 9N (9i),0,196,0,2018,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-9n.jpg,5.8400,https://www.gsmarena.com/honor_9n_(9i)-9229.php,0,1,1,0,0,0
584,Honor Play,94,286,32238,2018,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-play-ofic.jpg,6.3000,https://www.gsmarena.com/honor_play-9230.php,1,1,1,0,0,0
585,Honor 7S,0,98,0,2018,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-play-7.jpg,5.4500,https://www.gsmarena.com/honor_7s-9211.php,0,1,1,0,0,0
586,Honor 10,74,357,29435,2018,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-10-.jpg,5.8400,https://www.gsmarena.com/honor_10-9157.php,1,1,1,1,0,0
587,Honor 7A,0,107,0,2018,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-7a-.jpg,5.7000,https://www.gsmarena.com/honor_7a-9075.php,0,1,1,0,0,0
588,Honor 7C,0,178,0,2018,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-7c.jpg,5.9900,https://www.gsmarena.com/honor_7c-9111.php,0,1,1,0,0,0
589,Honor 9 Lite,0,169,0,2017,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-9-lite.jpg,5.6500,https://www.gsmarena.com/honor_9_lite-8962.php,0,1,1,0,0,0
590,Honor 7X,77,259,8616,2017,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-7x.jpg,5.9300,https://www.gsmarena.com/honor_7x-8880.php,0,1,1,0,0,0
591,Honor View 10,74,330,33499,2018,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-view-10.jpg,5.9900,https://www.gsmarena.com/honor_view_10-8938.php,1,1,1,1,0,0
592,Honor 6C Pro,0,160,0,2017,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-v9-play.jpg,5.2000,https://www.gsmarena.com/honor_6c_pro-8856.php,0,1,1,0,0,0
593,Honor 9,77,277,29398,2017,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-9-1.jpg,5.1500,https://www.gsmarena.com/honor_9-8704.php,1,1,1,1,0,0
594,Honor 6A (Pro),0,116,0,2017,https://cdn2.gsmarena.com/vv/bigpic/huawei-nonor-6a.jpg,5.0000,https://www.gsmarena.com/honor_6a_(pro)-8700.php,0,1,1,0,0,0
595,Honor 8 Pro,77,348,30853,2017,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-8-pro.jpg,5.7000,https://www.gsmarena.com/honor_8_pro-8568.php,1,1,1,1,0,0
596,Honor Magic,0,357,0,2016,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-magic.jpg,5.0900,https://www.gsmarena.com/honor_magic-8482.php,1,1,1,0,0,0
597,Honor V8,0,286,0,2016,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-v8.jpg,5.7000,https://www.gsmarena.com/honor_v8-8061.php,1,1,1,1,0,0
598,Honor 6X,84,160,8548,2016,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-6x-2016.jpg,5.5000,https://www.gsmarena.com/honor_6x-8388.php,0,1,1,0,0,0
599,Honor Holly 3,0,125,0,2016,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-5a.jpg,5.5000,https://www.gsmarena.com/honor_holly_3-8383.php,0,1,1,0,0,0
600,Honor Note 8,0,357,0,2016,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-note8.jpg,6.6000,https://www.gsmarena.com/honor_note_8-8231.php,0,1,1,0,0,0
601,Honor 8,70,232,16592,2016,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-8r1.jpg,5.2000,https://www.gsmarena.com/honor_8-8195.php,1,1,1,1,0,0
602,Honor 5A,0,107,0,2016,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-5a-new.jpg,5.0000,https://www.gsmarena.com/honor_5a-8149.php,0,1,1,0,0,0
603,Honor 5c,75,151,7735,2016,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-5c-1.jpg,5.2000,https://www.gsmarena.com/honor_5c-8074.php,0,1,1,0,0,0
604,Honor Holly 2 Plus,0,125,0,2016,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-holly2-plus.jpg,5.0000,https://www.gsmarena.com/honor_holly_2_plus-7882.php,0,1,1,0,0,0
605,Honor 5X,76,160,5009,2015,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-5x.jpg,5.5000,https://www.gsmarena.com/honor_5x-7590.php,0,1,1,0,0,0
606,Honor 7i,0,277,0,2015,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-7i.jpg,5.2000,https://www.gsmarena.com/honor_7i-7510.php,1,1,1,0,0,0
607,Honor 7,64,268,0,2015,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-7r.jpg,5.2000,https://www.gsmarena.com/honor_7-7269.php,0,1,1,1,0,0
608,Honor Bee,0,62,0,2015,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-bee.jpg,4.5000,https://www.gsmarena.com/honor_bee-7235.php,0,1,1,0,0,0
609,Honor 4C,0,151,0,2015,https://cdn2.gsmarena.com/vv/bigpic/huawei-honor-4c.jpg,5.0000,https://www.gsmarena.com/honor_4c-7203.php,0,1,1,0,0,0
610,Oppo K3,0,187,0,2019,https://cdn2.gsmarena.com/vv/bigpic/oppo-k3.jpg,6.5000,https://www.gsmarena.com/oppo_k3-9699.php,0,1,1,0,0,154000
611,Oppo A9x,0,232,0,2019,https://cdn2.gsmarena.com/vv/bigpic/oppo-a9.jpg,6.5300,https://www.gsmarena.com/oppo_a9x-9706.php,1,1,1,0,0,137000
612,Oppo Reno Z,0,178,0,2019,https://cdn2.gsmarena.com/vv/bigpic/oppo-reno-z-r.jpg,6.4000,https://www.gsmarena.com/oppo_reno_z-9702.php,1,1,1,0,0,220000
613,Oppo A9,0,169,0,2019,https://cdn2.gsmarena.com/vv/bigpic/oppo-a9.jpg,6.5300,https://www.gsmarena.com/oppo_a9-9677.php,1,1,1,0,0,137000
614,Oppo Reno 5G,0,786,0,2019,https://cdn2.gsmarena.com/vv/bigpic/oppo-reno-10x-zoom.jpg,6.6000,https://www.gsmarena.com/oppo_reno_5g-9676.php,1,1,1,0,0,0
615,Oppo Reno 10x zoom,0,715,0,2019,https://cdn2.gsmarena.com/vv/bigpic/oppo-reno-10x-zoom.jpg,6.6000,https://www.gsmarena.com/oppo_reno_10x_zoom-9654.php,1,1,1,0,0,0
616,Oppo Reno,0,446,0,2019,https://cdn2.gsmarena.com/vv/bigpic/oppo-reno1.jpg,6.4000,https://www.gsmarena.com/oppo_reno-9631.php,1,1,1,0,0,137000
617,Oppo A1k,0,89,0,2019,https://cdn2.gsmarena.com/vv/bigpic/oppo-a1k.jpg,6.1000,https://www.gsmarena.com/oppo_a1k-9673.php,0,1,1,0,0,75000
618,Oppo A7n,0,178,0,2019,https://cdn2.gsmarena.com/vv/bigpic/oppo-a7n.jpg,6.2000,https://www.gsmarena.com/oppo_a7n-9653.php,1,1,1,0,0,86000
619,Oppo A5s (AX5s),0,0,0,2019,https://cdn2.gsmarena.com/vv/bigpic/oppo-a5s-r.jpg,6.2000,https://www.gsmarena.com/oppo_a5s_(ax5s)-9626.php,0,1,1,0,0,0
620,Oppo F11,0,223,0,2019,https://cdn2.gsmarena.com/vv/bigpic/oppo-f11-.jpg,6.5300,https://www.gsmarena.com/oppo_f11-9617.php,0,1,1,0,0,137000
621,Oppo F11 Pro,109,286,16538,2019,https://cdn2.gsmarena.com/vv/bigpic/oppo-f11-pro-.jpg,6.5300,https://www.gsmarena.com/oppo_f11_pro-9566.php,0,1,1,0,0,156000
622,Oppo A7,0,241,0,2018,https://cdn2.gsmarena.com/vv/bigpic/oppo-a7.jpg,6.2000,https://www.gsmarena.com/oppo_a7-9394.php,0,1,1,0,0,57000
